Username,EnterpriseID,StatusPernikahan,JenisKelamin,StatusKepegawaian,Pekerjaan,JenjangKarir,PerformancePegawai,AsalDaerah,HiringPlatform,SkorSurveyEngagement,SkorKepuasanPegawai,JumlahKeikutsertaanProjek,JumlahKeterlambatanSebulanTerakhir,JumlahKetidakhadiran,NomorHP,Email,TingkatPendidikan,PernahBekerja,IkutProgramLOP,AlasanResign,TanggalLahir,TanggalHiring,TanggalPenilaianKaryawan,TanggalResign
solidMacaw1,100373,Belum_menikah,Pria,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_kurang,Jakarta Selatan,LinkedIn,3,4,0,0,13,+6281872169xxx,solidMacaw1167@gmail.com,Magister,1,,masih_bekerja,06/04/1979,08/07/2013,11/01/2020,-
cautiousPolenta9,106561,Lainnya,Pria,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Selatan,Indeed,3,3,0,0,4,+6281207070xxx,cautiousPolenta9061@proton.com,Magister,1,,masih_bekerja,30/10/1963,29/09/2014,28/01/2020,-
excludedPorpoise4,110363,Bercerai,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_bagus,Jakarta Barat,Google_Search,4,5,0,0,12,+6289919120xxx,excludedPorpoise4252@icloud.com,Sarjana,1,1,masih_bekerja,27/10/1970,04/04/2011,14/01/2020,-
shamefulIguana0,101682,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Barat,Indeed,3,5,0,0,4,+6281210001xxx,shamefulIguana0780@yahoo.com,Magister,1,0,masih_bekerja,05/06/1967,18/02/2013,14/01/2020,-
shySyrup7,105543,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Barat,LinkedIn,1,3,0,5,16,+6281238359xxx,shySyrup7423@yahoo.com,Magister,1,,masih_bekerja,12/08/1979,11/07/2011,01/05/2017,-
forsakenCow7,101626,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Pusat,Indeed,3,4,0,0,18,+6285742730xxx,forsakenCow7683@gmail.com,Doktor,1,,masih_bekerja,12/05/1989,27/09/2010,31/01/2020,-
grumpyFish4,110505,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Barat,Employee_Referral,2,5,0,0,17,+6289521535xxx,grumpyFish4017@hotmail.com,Sarjana,1,,kejelasan_karir,11/06/1970,14/05/2012,19/01/2020,15/11/2017
wingedPorpoise5,106141,Belum_menikah,Wanita,FullTime,Product Design (UI & UX),Senior_level,Bagus,Jakarta Barat,Website,4,3,0,0,6,+6289691256xxx,wingedPorpoise5929@outlook.com,Sarjana,1,,masih_bekerja,22/10/1975,16/02/2015,23/01/2020,-
soreCaribou0,111250,Belum_menikah,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,3,4,0,0,18,+6285700061xxx,soreCaribou0431@outlook.com,Magister,1,,masih_bekerja,07/07/1984,01/04/2013,17/01/2020,-
needfulCardinal0,105390,Bercerai,Wanita,Outsource,Software Engineer (Back End),Senior_level,Bagus,Jakarta Timur,Indeed,4,3,0,0,19,+6281206622xxx,needfulCardinal0741@proton.com,Magister,1,,tidak_bahagia,01/09/1989,07/07/2014,27/02/2020,07/01/2015
giddyCheetah9,100381,Menikah,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Sangat_kurang,Jakarta Pusat,Indeed,3,3,0,0,2,+6282295263xxx,giddyCheetah9745@icloud.com,Sarjana,1,,ganti_karir,27/12/1958,19/08/2013,10/01/2020,26/09/2013
hushedOil9,105634,Bercerai,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,Indeed,3,4,0,0,1,+6281206113xxx,hushedOil9777@proton.com,Sarjana,1,,masih_bekerja,15/11/1982,12/05/2014,19/02/2020,-
crummyPudding5,100826,Lainnya,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,Indeed,3,5,0,0,7,+6289829434xxx,crummyPudding5519@icloud.com,Sarjana,1,,masih_bekerja,18/06/1992,11/11/2013,18/02/2020,-
selfishBasmati2,110407,Lainnya,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Timur,Diversity_Job_Fair,4,4,3,0,,+6285718122xxx,selfishBasmati2000@hotmail.com,Magister,1,,tidak_bahagia,04/04/1987,16/02/2015,18/02/2020,23/09/2018
adoringCardinal9,101188,Lainnya,Wanita,FullTime,Data Analyst,Mid_level,Sangat_bagus,Jakarta Barat,LinkedIn,4,5,0,0,,+6289841872xxx,adoringCardinal9745@yahoo.com,Sarjana,1,,masih_bekerja,21/05/1987,30/03/2015,07/02/2020,-
importedApricots7,105820,Menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Barat,Indeed,3,,,0,10,+6289594763xxx,importedApricots7729@hotmail.com,Sarjana,1,0,masih_bekerja,23/10/1971,16/02/2015,20/01/2016,-
grizzledCod7,111184,Belum_menikah,Wanita,Outsource,Product Manager,Mid_level,Sangat_bagus,Jakarta Barat,Indeed,4,4,0,0,8,+6281209062xxx,grizzledCod7824@hotmail.com,Doktor,1,,masih_bekerja,22/11/1977,31/05/2011,10/01/2020,-
insecureShads2,111302,Belum_menikah,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_bagus,Jakarta Utara,LinkedIn,2,2,0,6,3,+6289741767xxx,insecureShads2204@proton.com,Sarjana,1,,masih_bekerja,30/09/1980,31/03/2014,09/03/2019,-
wornoutChamois3,111533,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Freshgraduate_program,Kurang,Jakarta Barat,Google_Search,4,5,0,0,14,+6285889643xxx,wornoutChamois3020@hotmail.com,Doktor,1,,masih_bekerja,10/03/1975,30/09/2013,06/02/2020,-
lazyToucan3,106660,Bercerai,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Kurang,Jakarta Utara,Diversity_Job_Fair,3,5,0,0,11,+6287705186xxx,lazyToucan3860@gmail.com,Magister,1,,masih_bekerja,03/04/1975,27/04/2009,15/02/2013,-
cockyTeal5,105937,Lainnya,Wanita,FullTime,Software Engineer (Front End),Senior_level,Biasa,Jakarta Utara,Indeed,3,3,4,0,6,+6285899573xxx,cockyTeal5115@icloud.com,Sarjana,1,,masih_bekerja,16/09/1985,16/02/2015,15/04/2016,-
puzzledBagels7,101053,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Pusat,Diversity_Job_Fair,3,5,0,0,20,+6281967947xxx,puzzledBagels7691@hotmail.com,Sarjana,1,,masih_bekerja,24/02/1969,07/03/2011,17/01/2020,-
debonairPlover9,111692,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,2,5,0,4,18,+6283194302xxx,debonairPlover9126@icloud.com,Sarjana,1,,masih_bekerja,16/05/1983,17/02/2014,11/02/2020,-
wornoutCrane2,111397,Menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Timur,Google_Search,2,4,0,0,14,+6285982588xxx,wornoutCrane2580@gmail.com,Sarjana,1,,masih_bekerja,15/10/1984,16/05/2011,02/04/2019,-
mercifulSausage4,100674,Lainnya,Wanita,FullTime,Data Engineer,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Google_Search,1,3,0,0,6,+6283244035xxx,mercifulSausage4755@icloud.com,Sarjana,1,,masih_bekerja,23/09/1973,26/04/2010,21/01/2020,-
boastfulLlama7,110454,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Pusat,Google_Search,3,3,5,0,4,+6281290991xxx,boastfulLlama7262@yahoo.com,Sarjana,1,,tidak_bahagia,22/11/1966,15/08/2011,21/01/2020,08/06/2018
trustingLizard8,100769,Belum_menikah,Pria,FullTime,Data Engineer,Freshgraduate_program,Biasa,Jakarta Utara,CareerBuilder,3,3,0,2,7,+6287864537xxx,trustingLizard8944@hotmail.com,Sarjana,1,,masih_bekerja,28/08/1963,06/09/2011,27/01/2020,-
mellowCheese1,105779,Bercerai,Pria,Outsource,Software Engineer (Back End),Mid_level,Kurang,Jakarta Barat,Employee_Referral,3,3,0,0,,+6287742497xxx,mellowCheese1411@icloud.com,Doktor,1,,masih_bekerja,15/09/1985,30/03/2015,18/02/2020,-
boastfulWasp1,110642,Lainnya,Wanita,FullTime,Software Engineer (Front End),Mid_level,Biasa,Jakarta Selatan,Indeed,4,4,0,0,6,+6285660996xxx,boastfulWasp1154@gmail.com,Doktor,1,,tidak_bisa_remote,02/12/1978,07/01/2013,18/01/2020,04/11/2017
excitedCake6,110524,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Pusat,Google_Search,3,5,0,0,9,+6281202919xxx,excitedCake6722@proton.com,Sarjana,1,0,masih_bekerja,31/08/1981,16/05/2011,03/05/2013,-
blissfulGnu4,106501,Lainnya,Wanita,Outsource,Software Engineer (Android),Mid_level,Kurang,Jakarta Selatan,Indeed,3,3,6,0,2,+6283206252xxx,blissfulGnu4786@hotmail.com,Magister,1,,masih_bekerja,24/07/1986,05/11/2012,13/02/2020,-
zestyPorpoise7,105688,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,Employee_Referral,3,3,0,0,3,+6289655446xxx,zestyPorpoise7101@gmail.com,Magister,1,,masih_bekerja,25/08/1978,31/03/2014,11/01/2020,-
lyingAntelope8,110612,Belum_menikah,Pria,FullTime,Software Engineer (iOS),Mid_level,Bagus,Jakarta Barat,Indeed,2,3,0,6,5,+6285936816xxx,lyingAntelope8984@outlook.com,Sarjana,1,,masih_bekerja,02/11/1975,29/09/2014,30/01/2020,-
cruelCaviar1,110478,Belum_menikah,Wanita,Outsource,Software Engineer (Android),Freshgraduate_program,Sangat_kurang,Jakarta Pusat,Indeed,4,5,0,0,7,+6285654618xxx,cruelCaviar1334@outlook.com,Doktor,1,,masih_bekerja,15/05/1963,18/08/2014,21/01/2020,-
pacifiedCow0,105370,Belum_menikah,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Bagus,Jakarta Utara,Google_Search,3,4,5,0,8,+6281973417xxx,pacifiedCow0861@icloud.com,Sarjana,1,,masih_bekerja,04/04/1986,07/07/2014,15/01/2016,-
ashamedSyrup5,100852,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Biasa,Jakarta Selatan,LinkedIn,4,3,0,0,2,+6281961300xxx,ashamedSyrup5760@gmail.com,Sarjana,1,,masih_bekerja,21/05/1979,02/07/2012,14/01/2020,-
solemnLemur7,106462,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Bagus,Jakarta Pusat,Employee_Referral,2,5,0,0,4,+6283842230xxx,solemnLemur7109@gmail.com,Magister,1,,masih_bekerja,28/01/1985,08/07/2013,11/02/2020,-
culturedOrange6,101163,Menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Pusat,LinkedIn,4,3,0,0,4,+6283359623xxx,culturedOrange6330@yahoo.com,Magister,1,,masih_bekerja,25/08/1976,11/05/2016,21/01/2020,-
somberCod8,110312,Bercerai,Pria,FullTime,Data Analyst,Mid_level,Sangat_bagus,Jakarta Barat,Employee_Referral,4,4,0,0,19,+6289954216xxx,somberCod8452@icloud.com,Sarjana,1,,masih_bekerja,18/02/1983,30/09/2013,25/02/2020,-
excludedTeal8,100942,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Utara,LinkedIn,3,4,0,0,4,+6283218201xxx,excludedTeal8756@gmail.com,Sarjana,1,,masih_bekerja,10/06/1986,20/02/2012,07/01/2020,-
brainyMagpie7,106620,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Senior_level,Biasa,Jakarta Pusat,Indeed,2,5,5,0,9,+6281267984xxx,brainyMagpie7048@gmail.com,Doktor,1,,internal_conflict,01/09/1986,29/09/2014,18/01/2020,06/06/2019
brainySalt8,105538,Lainnya,Pria,FullTime,Data Engineer,Freshgraduate_program,Kurang,Jakarta Barat,Employee_Referral,3,5,0,0,3,+6283112563xxx,brainySalt8580@proton.com,Sarjana,1,,masih_bekerja,08/09/1977,08/07/2013,14/01/2020,-
artisticTacos7,100515,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Barat,Indeed,3,5,0,0,3,+6283134314xxx,artisticTacos7452@proton.com,Doktor,1,,masih_bekerja,31/05/1988,03/10/2011,30/01/2020,-
brainyRice8,106245,Bercerai,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Pusat,CareerBuilder,3,3,6,0,6,+6289935357xxx,brainyRice8142@icloud.com,Sarjana,1,,masih_bekerja,04/04/1979,16/02/2015,11/02/2020,-
scornfulCoati1,110699,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Senior_level,Kurang,Jakarta Barat,Google_Search,4,4,0,5,16,+6285585054xxx,scornfulCoati1438@icloud.com,Magister,1,,toxic_culture,02/09/1983,02/04/2012,12/04/2019,27/09/2020
finickyDunbird1,105678,Lainnya,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Barat,Google_Search,4,3,0,0,7,+6281290096xxx,finickyDunbird1042@icloud.com,Magister,1,,apresiasi,05/09/1991,04/04/2011,09/04/2018,25/02/2020
sincereGatorade8,111089,Menikah,Wanita,Outsource,Data Analyst,Freshgraduate_program,Sangat_bagus,Jakarta Timur,Indeed,3,5,7,0,2,+6281225029xxx,sincereGatorade8842@icloud.com,Sarjana,1,,toxic_culture,14/06/1987,02/10/2016,08/01/2020,15/03/2017
peskyPudding8,110423,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,Diversity_Job_Fair,3,2,6,0,14,+6289859069xxx,peskyPudding8206@hotmail.com,Sarjana,1,,masih_bekerja,24/11/1987,27/10/2008,15/01/2020,-
fondDoughnut4,110646,Bercerai,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,CareerBuilder,2,5,0,0,15,+6289864418xxx,fondDoughnut4927@outlook.com,Sarjana,1,,masih_bekerja,07/10/1986,02/04/2012,19/02/2020,-
wingedPoultry2,105419,Bercerai,Wanita,FullTime,Software Engineer (Back End),Mid_level,Sangat_bagus,Jakarta Pusat,Google_Search,3,4,0,0,6,+6283263626xxx,wingedPoultry2087@hotmail.com,Magister,1,,internal_conflict,24/08/1990,02/04/2012,04/03/2014,17/05/2018
grumpyCow6,100597,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,3,4,3,2,2,+6289763743xxx,grumpyCow6508@icloud.com,Sarjana,1,,masih_bekerja,15/04/1988,09/07/2018,31/01/2020,-
somberJerky8,100992,Lainnya,Pria,Outsource,Scrum Master,Freshgraduate_program,Kurang,Jakarta Barat,CareerBuilder,3,4,0,0,9,+6285581609xxx,somberJerky8901@icloud.com,Magister,1,,masih_bekerja,19/08/1959,07/11/2011,14/02/2019,-
boredHyena0,101306,Menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,LinkedIn,4,3,0,0,17,+6285758275xxx,boredHyena0206@hotmail.com,Sarjana,1,,masih_bekerja,11/02/1952,14/05/2012,02/07/2014,-
